tid,governo_alinhamento~Lula_2/indefinido,governo_alinhamento~Lula_2/nao se aplica,governo_alinhamento~Lula_2/votou com o governo,governo_alinhamento~Lula_2/votou contra o governo,orientacaoGoverno~Liberado,orientacaoGoverno~Não,orientacaoGoverno~Obstrução,orientacaoGoverno~Sim,partido~Avante,partido~Cidadania,partido~DEM,partido~MDB,partido~PAN,partido~PCdoB,partido~PDT,partido~PHS,partido~PL,partido~PMN,partido~PP,partido~PRB,partido~PRTB,partido~PSB,partido~PSC,partido~PSDB,partido~PSOL,partido~PT,partido~PTB,partido~PTC,partido~PV,partido~Sem_Partido,tipoProposicao~MPV,tipoProposicao~MSC,tipoProposicao~PDC,tipoProposicao~PEC,tipoProposicao~PL,tipoProposicao~PLP,tipoProposicao~PLV,tipoProposicao~PRC,tipoProposicao~REC,tipoProposicao~REQ
1466,1,14,48,1,14,25,0,25,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,19,6,8,0,1,1,0
1467,0,16,47,1,16,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,25,0,2,21,7,7,0,1,1,0
1468,0,16,50,2,15,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,29,0,2,20,8,7,0,1,1,0
1469,0,7,16,0,7,7,0,9,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,5,2,0,1,1,0
1470,0,6,36,0,6,18,0,18,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,11,5,1,0,1,0,0
1471,1,25,7,7,10,17,0,13,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,9,4,5,0,0,1,0
1472,0,17,52,0,16,27,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,30,0,2,20,7,8,0,1,1,0
1473,0,14,49,0,13,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,27,0,2,18,7,7,0,1,1,0
1474,0,11,37,0,11,17,0,20,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,15,3,3,0,1,1,0
1475,0,7,12,15,6,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,7,0,2,15,2,8,0,0,0,0
1476,0,8,40,2,8,20,0,22,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,17,5,4,0,1,1,0
1477,0,14,10,14,6,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,15,0,1,14,2,4,0,1,1,0
1478,0,14,46,0,13,23,0,24,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,20,7,5,0,1,1,0
1479,1,12,9,14,5,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,13,0,2,17,2,2,0,0,0,0
1480,0,16,13,14,7,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,14,0,1,17,4,7,0,0,0,0
1481,0,21,13,20,10,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,20,0,2,17,6,7,0,1,1,0
1483,0,8,15,17,8,17,0,15,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,15,6,0,0,0,0,0
1484,0,6,14,3,5,5,0,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,5,1,7,0,1,1,0
1485,0,8,29,1,8,14,0,16,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,5,8,0,1,1,0
1486,0,11,37,1,10,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,20,0,2,17,6,2,0,1,1,0
1488,0,11,27,2,11,10,0,19,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,13,6,6,0,0,0,0
1489,0,30,15,21,15,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,28,0,2,20,6,8,0,1,1,0
1490,0,10,40,3,10,18,0,25,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,8,6,0,1,1,0
1491,0,16,40,0,16,18,0,22,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,20,5,7,0,1,0,0
1493,0,8,32,1,8,13,0,20,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,15,0,1,14,4,5,0,1,1,0
1494,0,6,22,0,6,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,9,4,4,0,1,0,0
1495,0,6,33,2,6,18,0,17,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,6,6,5,0,0,0,0
1496,0,10,7,8,5,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,9,0,2,8,1,5,0,0,0,0
1497,0,9,27,5,9,14,0,18,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,10,3,4,0,1,1,0
1498,0,5,11,1,5,5,0,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,1,3,0,0,0,0
1499,0,12,43,2,12,19,0,26,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,24,0,2,15,6,8,0,1,1,0
